,HDSI_author,year,category_for
52,Berk Ustun,2018,"['01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '1503 Business and Management', '0806 Information Systems', '15 Commerce, Management, Tourism and Services', '08 Information and Computing Sciences']"
53,Berk Ustun,2019,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1402 Applied Economics', '1701 Psychology', '0104 Statistics', '14 Economics', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
54,Berk Ustun,2021,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
55,Bradley Voytek,2016,"['17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1109 Neurosciences', '1701 Psychology', '06 Biological Sciences', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
56,Bradley Voytek,2017,"['17 Psychology and Cognitive Sciences', '1109 Neurosciences', '1701 Psychology', '1702 Cognitive Sciences', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
57,Bradley Voytek,2018,"['17 Psychology and Cognitive Sciences', '1109 Neurosciences', '1701 Psychology', '0906 Electrical and Electronic Engineering', '09 Engineering', '11 Medical and Health Sciences']"
58,Bradley Voytek,2019,"['1117 Public Health and Health Services', '1109 Neurosciences', '11 Medical and Health Sciences']"
59,Bradley Voytek,2020,"['17 Psychology and Cognitive Sciences', '1109 Neurosciences', '1701 Psychology', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
60,Bradley Voytek,2021,"['17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1109 Neurosciences', '13 Education', '1701 Psychology', '0102 Applied Mathematics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '1303 Specialist Studies In Education', '1302 Curriculum and Pedagogy', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
61,David Danks,2016,"['01 Mathematical Sciences', '0104 Statistics']"
62,David Danks,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '2203 Philosophy', '0104 Statistics', '0803 Computer Software', '2202 History and Philosophy of Specific Fields', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '22 Philosophy and Religious Studies']"
63,David Danks,2018,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '1701 Psychology', '2201 Applied Ethics', '2203 Philosophy', '08 Information and Computing Sciences', '22 Philosophy and Religious Studies']"
64,David Danks,2019,"['17 Psychology and Cognitive Sciences', '16 Studies in Human Society', '11 Medical and Health Sciences', '1701 Psychology', '09 Engineering', '2203 Philosophy', '1606 Political Science', '0912 Materials Engineering', '1103 Clinical Sciences', '22 Philosophy and Religious Studies']"
65,David Danks,2020,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '22 Philosophy and Religious Studies', '2203 Philosophy']"
66,David Danks,2021,"['2203 Philosophy', '22 Philosophy and Religious Studies', '15 Commerce, Management, Tourism and Services', '1501 Accounting, Auditing and Accountability']"
67,Dimitris Politis,2016,"['01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '14 Economics', '0103 Numerical and Computational Mathematics', '1403 Econometrics']"
68,Dimitris Politis,2017,"['01 Mathematical Sciences', '1403 Econometrics', '0104 Statistics', '14 Economics']"
69,Dimitris Politis,2018,"['17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '09 Engineering', '0104 Statistics', '1702 Cognitive Sciences', '14 Economics', '0103 Numerical and Computational Mathematics', '1403 Econometrics', '0907 Environmental Engineering']"
70,Dimitris Politis,2019,"['01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '14 Economics', '1403 Econometrics']"
71,Dimitris Politis,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '14 Economics', '08 Information and Computing Sciences', '1403 Econometrics']"
72,Dimitris Politis,2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1403 Econometrics', '0104 Statistics', '14 Economics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics']"
73,Eran Mukamel,2016,"['0604 Genetics', '06 Biological Sciences']"
74,Eran Mukamel,2017,"['17 Psychology and Cognitive Sciences', '1109 Neurosciences', '0604 Genetics', '06 Biological Sciences', '11 Medical and Health Sciences']"
75,Eran Mukamel,2018,"['0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
76,Eran Mukamel,2019,"['1109 Neurosciences', '0604 Genetics', '06 Biological Sciences', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
