,HDSI_author,year,category_for
222,Vineet Bafna,2017,"['0304 Medicinal and Biomolecular Chemistry', '03 Chemical Sciences', '0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '1107 Immunology', '11 Medical and Health Sciences']"
223,Vineet Bafna,2018,"['0604 Genetics', '06 Biological Sciences', '0607 Plant Biology', '0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '11 Medical and Health Sciences']"
224,Vineet Bafna,2019,"['01 Mathematical Sciences', '0604 Genetics', '06 Biological Sciences', '0104 Statistics', '0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '11 Medical and Health Sciences']"
225,Vineet Bafna,2020,"['02 Physical Sciences', '0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences']"
226,Vineet Bafna,2021,"['0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '1107 Immunology', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
227,Virginia De Sa,2017,"['17 Psychology and Cognitive Sciences', '1109 Neurosciences', '1701 Psychology', '1117 Public Health and Health Services', '11 Medical and Health Sciences']"
228,Virginia De Sa,2018,"['17 Psychology and Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '1701 Psychology', '2201 Applied Ethics', '22 Philosophy and Religious Studies', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
229,Virginia De Sa,2019,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '1109 Neurosciences', '1702 Cognitive Sciences', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
230,Virginia De Sa,2020,"['17 Psychology and Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '1701 Psychology', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
231,Virginia De Sa,2021,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
232,Yian Ma,2018,"['01 Mathematical Sciences', '0104 Statistics', '0102 Applied Mathematics']"
233,Yian Ma,2019,"['01 Mathematical Sciences', '0604 Genetics', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '0103 Numerical and Computational Mathematics']"
234,Yian Ma,2021,"['01 Mathematical Sciences', '1403 Econometrics', '0104 Statistics', '14 Economics']"
235,Yoav Freund,2017,"['1109 Neurosciences', '11 Medical and Health Sciences']"
236,Yoav Freund,2018,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '1109 Neurosciences', '11 Medical and Health Sciences']"
237,Yoav Freund,2019,"['06 Biological Sciences', '11 Medical and Health Sciences', '10 Technology']"
238,Yoav Freund,2021,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
239,Young-Han Kim,2016,"['01 Mathematical Sciences', '0804 Data Format', '10 Technology', '08 Information and Computing Sciences', '0101 Pure Mathematics', '1005 Communications Technologies']"
240,Young-Han Kim,2017,"['0801 Artificial Intelligence and Image Processing', '0804 Data Format', '10 Technology', '08 Information and Computing Sciences', '1005 Communications Technologies']"
241,Young-Han Kim,2018,"['01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '09 Engineering', '0804 Data Format', '10 Technology', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics', '1005 Communications Technologies', '0907 Environmental Engineering']"
242,Young-Han Kim,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '02 Physical Sciences', '09 Engineering', '0804 Data Format', '10 Technology', '08 Information and Computing Sciences', '1005 Communications Technologies']"
243,Young-Han Kim,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '02 Physical Sciences', '0804 Data Format', '10 Technology', '0806 Information Systems', '08 Information and Computing Sciences', '1005 Communications Technologies']"
244,Young-Han Kim,2021,"['08 Information and Computing Sciences', '0804 Data Format']"
245,Yusu Wang,2016,"['0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
246,Yusu Wang,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1109 Neurosciences', '11 Medical and Health Sciences', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
247,Yusu Wang,2018,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
248,Yusu Wang,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1109 Neurosciences', '11 Medical and Health Sciences', '0806 Information Systems', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
249,Yusu Wang,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1109 Neurosciences', '11 Medical and Health Sciences', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
250,Yusu Wang,2021,['03 Chemical Sciences']
251,Zhiting Hu,2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '0806 Information Systems', '08 Information and Computing Sciences']"
252,Zhiting Hu,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '17 Psychology and Cognitive Sciences', '1701 Psychology', '0104 Statistics', '10 Technology', '0806 Information Systems', '08 Information and Computing Sciences', '1005 Communications Technologies']"
253,Zhiting Hu,2018,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '1702 Cognitive Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
254,Zhiting Hu,2019,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
255,Zhiting Hu,2020,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1701 Psychology', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics']"
